"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
320,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS SUB-FUND LIGHTROCK GLOBAL FUND",Luxembourg,"1,15,21,499.2500",151264.6978,Received in the company
321,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"1,15,21,499.2500",151264.6978,Received in the company
322,"SmartShift Logistics Solutions Private
Limited",MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"1,15,21,499.2500",151264.6978,"Received in the
company"
323,BANDRA SOAP PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath
salts and other bath",The G.O.A.T. Brand Labs Pte. Ltd,Singapore,"1,16,37,500.0000",149056.1591,Received in the company
,,,,prepa,,,,,
324,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS SUB-FUND LIGHTROCK
GLOBAL FUND",Luxembourg,"1,15,21,499.2500",149011.9446,Received in the Company
325,ROOTER SPORTS TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Other information service activities n.e.c.,LIGHTBOX VENTURES III,Mauritius,"1,13,82,665.0300",147216.3487,Received in the Company
326,Work Advantage Private Limited,DELHI,Central Delhi,Other information technology and computer service activities n.e.c,JETTY VENTURES INVESTMENT LIMITED,UAE,"1,08,43,362.0000",142361.4966,Received in the company
327,CERTUS APAC CONSULTING PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and
maintenance to the clients",Certus Solutions Consulting Services Apac Pty Limited,Australia,"1,07,70,000.0000",141398.3337,Received in the company
328,"ROOTER SPORTS TECHNOLOGIES
PRIVATE LIMITED",DELHI,South Delhi,"Other information service activities
n.e.c.",LIGHTBOX VENTURES III,Mauritius,"1,07,75,850.0000",139368.1784,"Received in the
Company"
329,CERTUS APAC CONSULTING PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Certus Solutions Consulting Services Apac Pty Limited,Australia,"1,07,70,000.0000",139292.5182,Received in the Company
330,VIGILANT COMPUTECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,VIGILANT TECHNOLOGIES LLC,U.S.A,"1,05,00,000.0000",135800.5052,Received in the Company
331,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"1,04,96,700.0000",135757.825,Received in the Company
332,VIGILANT COMPUTECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and computer service
activities n.e.c",VIGILANT TECHNOLOGIES LLC,U.S.A,"1,05,00,000.0000",134486.7601,Received in the company
333,Zomato Limited,DELHI,South Delhi,Other information service activities n.e.c.,"FIDELITY INVESTMENT TRUST - FIDELITY EMERGING MARKETS
FUND",U.S.A,"1,02,07,990.0000",134019.7564,Received in the company
334,ADMITAD MEDIA PRIVATE LIMITED,HARYANA,Gurgaon,Advertising,Admitad holding gmbh,Germany,"1,01,04,977.1000",132667.3095,Received in the
,,,,,,,,,company
335,UNIORBIT TECHNOLOGIES PRIVATE LIMITED,DELHI,North West Delhi,Other information technology and computer service activities n.e.c,ACCEL INDIA VI (MAURITIUS) LTD,Mauritius,"1,00,95,912.0000",132548.2947,Received in the company
336,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"1,02,31,830.0000",132332.1603,Received in the Company
337,Anomalous Infra Private Limited,MAHARASHTRA,Mumbai,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign
trade zones",Ascendas Property Fund (India) Pte Limited,Singapore,"99,99,999.9000",131289.0736,Received in the company
338,TAPTAP MEALS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Courier activities,INCRIN LIMITED,Cyprus,"99,39,335.4000",130492.615,"Received in the
company"
339,HARBINGER ANALYTICAL CONSULTING PRIVATE LIMITED,RAJASTHAN,Jaipur,Publishing of journals and periodicals,RAJ K KHAWARE,U.S.A,"1,00,17,532.7200",129560.5718,Received in the Company
340,LIFECELL INTERNATIONAL PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other human health activities n.e.c. (including independent
ambulance activities)",OrbiMed Asia IV Mauritius Limited,Mauritius,"1,00,60,968.3800",128863.5277,Received in the company
341,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","Matrix Partners India Investments II Extension, LLC",Mauritius,"99,12,291.6000",128199.4483,Received in the Company
342,InCred Financial Services Limited,MAHARASHTRA,Mumbai,Other credit granting,KUNAL SETH,UAE,"1,00,01,000.0000",128095.4369,Received in the company
343,Loma Co-Developers 1 Pvt Ltd.,MAHARASHTRA,Thane,Real estate activities with own or leased property,Ascendas Property Fund (India) Pte Ltd.,Singapore,"1,00,00,000.0000",128082.6287,Received in the company
344,BFT Automation Systems Private Limited,TELANGANA,Medak,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and
similar articles used on buildings",BFT SPA,Italy,"99,27,553.9700",127154.7209,Received in the company
345,"KUDOS FINANCE AND INVESTMENTS PRIVATE
LIMITED",MAHARASHTRA,Pune,"Activities auxiliary to financial service
activities n.e.c.",TANJONG INVESTMENT LTD,Mauritius,"96,39,000.0000",123458.8458,"Received in the
company"
346,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",Think India Opportunities Master Fund LP,Cayman Islands,"92,12,293.0000",119146.0994,Received in the Company
347,BRIGHT RIVER MRC INDIA PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Other information technology and computer service
activities n.e.c",MRC HOLDING B.V.,Netherland,"91,43,140.5000",117107.7469,Received in the company
348,Duroflex Private Limited,KERALA,Alappuzha,Manufacture of mattresses and pillows,"NORWEST CAPITAL, LLC",U.S.A,"87,28,673.3000",114597.9443,Received in the company
349,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Electric power generation using solar energy,"Augment India I Holdings, LLC",Cayman Islands,"88,21,935.3200",112993.6666,Received in the company
350,HUSYS CONSULTING LIMITED,TELANGANA,Hyderabad,"Human resources provision and management of human resources
functions",P20 WPP ACQUISITION B.V.,Netherland,"82,39,909.1800",108181.0054,Received in the company
351,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"82,32,786.2000",105447.6898,Received in the company
352,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"79,61,130.0700",104520.9402,Received in the company
353,KURLON ENTERPRISE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of
mattresses and pillows",AHMED ALI HUSAIN NALWALA,UAE,"76,56,885.8600",98071.4068,"Received in
the company"
354,Locon Solutions Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd,Singapore,"74,01,405.0000",95725.1941,Received in the Company
355,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other credit granting,Bharat D Mansukhani,UAE,"73,37,008.0000",93974.3271,Received in the company
356,AGNITY COMMUNICATIONS PRIVATE LIMITED,DELHI,South Delhi,"Other information technology and computer service
activities n.e.c",Agnity Global Inc.,U.S.A,"68,30,159.0000",87482.4719,Received in the company
357,Merabo Labs Private Limited,RAJASTHAN,Jaipur,"Other non- specialised wholesale trade
n.e.c.",Internet Fund VII Pte. Ltd,Singapore,"67,60,890.0000",87441.1693,Received in the Company
358,"BUILDWEALTH TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other business support service
activities n.e.c",Alpha Wave Incubation LP,UAE,"66,88,200.0000",86501.0418,"Received in the
Company"
359,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Internet Fund VII Pte Ltd,Singapore,"65,68,386.0000",84129.6145,Received in the company
360,MIL POWER CONVERTER TECHNOLOGIES INDIA PRIVATE LIMITED,Haryana,Gurgaon,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors,
junction",ENERCON TECHNOLOGIES LIMITED,Israel,"63,68,625.0000",83613.0885,Received in the company
361,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"62,60,418.3600",82192.4535,Received in the company
362,ABITA INNOVATIONS PRIVATE LIMITED,MADHYA PRADESH,Indore,"Other professional, scientific and technical activities
n.e.c.",SCI Seed Investment,Mauritius,"62,49,998.4000",82055.6508,Received in the company
363,DESIDERATA IMPACT,DELHI,East Delhi,Management,CREATION INVESTMENTS,U.S.A,"62,07,036.3600",81491.6062,Received in
,VENTURES PRIVATE LIMITED,,,consultancy activities,"SOCIAL VENTURES FUND V, LP",,,,the company
364,Jokanomy Tech Solutions Private Limited,MAHARASHTRA,Nashik,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",SALIAN VASANT N,Philippines,"62,85,800.0000",81296.6491,Received in the Company
365,BBH Communications India Private Limited,MAHARASHTRA,Mumbai,Advertising,M/s. BBH Communications Limited,United Kingdom,"60,23,840.0000",79086.4381,"Received in the
company"
366,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","Matrix Partners India Investments II Extension, LLC",Mauritius,"59,71,260.0000",77228.5833,Received in the Company
367,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Matrix Partners India Investments II Extension, LLC",Mauritius,"59,71,260.0000",77228.5833,Received in the Company
368,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Matrix Partners India Investments II Extension, LLC",Mauritius,"59,71,260.0000",77228.5833,Received in the Company
369,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"VY Dharana EM Technology Fund, LP",UAE,"59,71,260.0000",76481.4677,Received in the company
370,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"57,61,798.1200",75646.1145,"Received in the
company"
371,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"56,21,130.0000",72700.2184,Received in the Company
372,VAHO FOREX PRIVATE LIMITED,DELHI,Central Delhi,Security and commodity contracts brokerage,Wise Payments Limited,United Kingdom,"55,70,000.0000",72038.9347,Received in the Company
373,KNOWCROSS SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support and maintenance to the
clients","UniFocus Holdco, Inc.",U.S.A,"54,59,111.2800",71672.167,Received in the company
374,PROFICIENCY LEARNING SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,EDUCATION,Al Rayan Holding Co. K.S.C.C.,Kuwait,"55,46,925.0000",71046.4735,Received in the company
375,Octagona India Private Limited,DELHI,South Delhi,"Management
consultancy activities",OCTAGONA SRL,Italy,"54,03,845.2800",70946.5848,"Received in
the company"
376,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"52,95,483.7900",69523.9168,Received in the company
377,ADATIS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Adatis Group Limited,United Kingdom,"50,47,980.0000",66274.4624,Received in the company
378,IV PROCESSING PRIVATE LIMITED,DELHI,South West Delhi,Tour operator activities,BSR GLOBAL DMCC,UAE,"51,08,389.1100",66068.7449,"Received in
the Company"
379,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"50,30,965.8200",66051.0848,Received in the company
380,NUI Services Private Limited,MAHARASHTRA,Mumbai,"Other business support service
activities n.e.c",Infin Data Centre Holdings Limited,Mauritius,"50,00,000.0000",65644.5375,"Received in the
company"
381,"REDRIBBON ADVISORY SERVICES PRIVATE
LIMITED",KERALA,Ernakulam,"Activities auxiliary to financial service
activities n.e.c.",Red Ribbon Asset Management PLC,United Kingdom,"50,00,000.0000",65644.5375,"Received in the
company"
382,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"49,81,047.8400",65395.7163,Received in the company
383,ABHISHTI TEXTILE PRIVATE LIMITED,DELHI,North West Delhi,"Manufacture of all types of textile
garments and clothing accessories",The G.O.A.T Brand Labs Pte. Ltd,Singapore,"50,19,210.0000",64915.3575,Received in the Company
384,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings,
doors, control surfaces, landing",Aravind Melligeri,U.S.A,"50,00,000.0000",64666.9072,Received in the Company
,,,,"gear, fuel tanks, nacelles, airscrews, he",,,,,
385,"REDRIBBON ADVISORY
SERVICES PRIVATE LIMITED",KERALA,Ernakulam,"Activities auxiliary
to financial service activities n.e.c.",Red Ribbon Asset Management PLC,United Kingdom,"50,00,000.0000",64666.9072,"Received in
the Company"
386,Nineroot Technologies Private Limited,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Gaurav Yadav,Indonesia,"49,19,818.5100",64591.8421,Received in the company
387,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Providing software support and maintenance to the clients,ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"49,39,671.7200",63886.6586,Received in the Company
388,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"49,39,671.7200",63268.6139,Received in the company
389,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and
maintenance to the clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"49,39,671.7200",63268.6139,Received in the company
390,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,"48,29,237.6000",62458.372,"Received in the
Company"
391,YOTTA TECHPORTS PRIVATE LIMITED,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,YOTTATECHPORTS LLC,U.S.A,"44,86,500.0000",58025.6159,Received in the Company
392,OITOLABS TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",SCG Cement-Building Materials Co. Ltd,Thailand,"44,08,158.0000",57874.2986,Received in the company
393,"GAMINGMONK ENTERTAINMENT
PRIVATE LIMITED",DELHI,South Delhi,"Other amusement and recreation
activities n.e.c.",M League Pte Ltd,Singapore,"44,21,399.2200",56630.4434,"Received in the
company"
394,Merabo Labs Private Limited,RAJASTHAN,Jaipur,"Other non- specialised wholesale trade
n.e.c.",Internet Fund VII Pte. Ltd,Singapore,"42,81,897.0000",55379.4072,Received in the Company
395,QFIX INFOCOMM,MAHARASHTRA,Mumbai,Other information,Pine Labs Limited,Singapore,"42,64,428.8500",55153.485,Received in
,PRIVATE LIMITED,,,technology and computer service activities n.e.c,,,,,the Company
396,"TRANSACTION SOLUTIONS INTERNATIONAL
(INDIA) PRIVATE LIMITED",DELHI,South Delhi,"Other data processing, hosting and related activities n.e.c.",Vortiv Limited,Australia,"43,05,674.0000",55148.2044,Received in the company
397,CAMELOT INTEGRATED LABS PRIVATE LIMITED,Telangana,Hyderabad,"Other information technology and
computer service activities n.e.c",Ravi Varre,U.S.A,"42,49,575.0000",54961.3745,Received in the Company
398,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"41,56,776.2000",54573.9302,Received in the company
399,GRTSA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Three State Capital Pte. Ltd.,Singapore,"42,12,776.4000",53958.3475,Received in the company
400,Interactive Manpower Solutions Private Limited,GUJARAT,Ahmedabad,Activities of employment placement agencies,Empresaria Group plc,United Kingdom,"41,26,500.0000",53369.5985,Received in the Company
401,ReNew Power Private Limited,DELHI,South West Delhi,"Electric power generation using other non conventional
sources",RENEW ENERGY GLOBAL PLC,United Kingdom,"40,98,517.9700",53007.6963,Received in the Company
402,GOAUGMENT PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Augment LLC,U.S.A,"41,00,001.0000",52513.8906,Received in the company
403,AMELIA GLOBAL SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Amelia NL BV,Netherland,"40,37,120.7800",51708.5042,Received in the company
404,QFIX INFOCOMM PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",PINE LABS LIMITED,Singapore,"37,70,228.2200",49498.9775,Received in the company
405,Droom Tech Insurance Broking Private Limited,DELHI,South Delhi,Activities of insurance agents and brokers,DROOM PTE. LTD.,Singapore,"38,24,990.0000",49470.0547,Received in the Company
406,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"37,55,095.5000",49300.3014,"Received in
the company"
407,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",STOCKGRO RAZOR LLC,U.S.A,"38,42,921.0000",49221.1423,Received in the company
408,Pepper Content Private Limited,DELHI,North West Delhi,"Other professional, scientific and technical activities n.e.c.",BVP India Holdings,Mauritius,"37,29,569.6000",48965.1743,Received in the company
