"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
560,,CMD CTR PRIVATE LIMITED,,UTTAR PRADESH,,Gautam Buddha Nagar,,Other information technology and computer service activities n.e.c,,"CMD CTR, Inc.",,U.S.A,,9999,,134.2211,,Received in the Company,
561,,FDECK TECHNOLOGIES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Freight Deck Inc.,,U.S.A,,9999,,134.2211,,Received in the Company,
562,,NIMBLEEDGE PRIVATE LIMITED,,RAJASTHAN,,Kota,,Other information technology and computer service activities n.e.c,,Nimbleedge Inc.,,U.S.A,,9999,,134.2211,,Received in the Company,
563,,NOLA TECH PRIVATE LIMITED,,DELHI,,East Delhi,,"Other information technology
and computer service activities n.e.c",,"Enerjazz Technologies, Inc.",,U.S.A,,9999,,134.2211,,"Received in
the Company",
564,,BELOHNUNG VENTURE INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other business support service activities n.e.c,,Tanglin Venture Partners Holdings Pte. Ltd,,Singapore,,9990,,134.1003,,Received in the Company,
565,,CLOUDSCODER PRIVATE LIMITED,,DELHI,,North West Delhi,,Software installation,,Trinax Private Limited,,Singapore,,10000,,133.4841,,Received in the company,
566,,DIFENZ TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Other information technology and computer service
activities n.e.c",,"Difenz, Inc.",,U.S.A,,9999,,133.4707,,"Received in the
company",
567,,GUIDER LABS INDIA PRIVATE LIMITED,,TAMIL NADU,,Karur,,Other information technology and computer service,,"Guider Labs, Inc",,U.S.A,,9999,,133.4707,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,activities n.e.c,,,,,,,,,,company,
568,,HYPERSPEED LABS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,"Hyperspeed Labs, Inc",,U.S.A,,9999,,133.4707,,Received in the company,
569,,VOLDERAVEN PRIVATE LIMITED,,UTTAR PRADESH,,Lucknow,,Other information technology and computer service activities n.e.c,,Elixar Systems Inc.,,U.S.A,,9999,,133.4707,,Received in the company,
570,,AEROBODE ONE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Real estate activities with own or leased property,,Project Diamond Holdings (DIFC) Limited,,UAE,,9990,,133.3506,,Received in the company,
571,,RLTECH INDIA PRIVATE LIMITED,,UTTAR PRADESH,,Gautam Buddha Nagar,,Manufacture of fibre optic cables for data transmission or live transmission of images,,RL DIGITAL COMPANY LIMITED,,Thailand,,9990,,133.3506,,Received in the company,
572,,Zectos Software Private Limited,,CHANDIGARH,,Chandigarh,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,MOTORNEX ADVANCED MOBILITY LIMITED,,UAE,,9990,,133.3506,,Received in the company,
573,,AIM NORTH TECHNOLOGIES PRIVATE LIMITED,,DELHI,,North West Delhi,,Other information service activities n.e.c.,,Pulse Business Solutions Inc,,U.S.A,,9908.64,,133.0081,,Received in the Company,
574,,MAGNETICCAP INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Fractal Capital Inc,,U.S.A,,10000,,132.6744,,Received in the company,
575,,Nextracker India Private Limited,,TELANGANA,,Hyderabad,,Electric power generation using solar energy,,Nextracker Inc.,,U.S.A,,10000,,132.6744,,Received in the company,
576,,RESULTS IT INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Other information technology and computer service activities n.e.c,,"RESULTSCX HOLDING COMPANY LLC (EARLIER KNOWN AS MORGANITE
COMPANY LLC)",,U.S.A,,10000,,132.6744,,Received in the company,
577,,BEING MENTAL HEALTHCARE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,"BEING CARES, Inc.",,U.S.A,,9999,,132.6611,,Received in the company,
578,,INVACT SCHOOL PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,OTHER EDUCATIONAL SERVICES N.E.C.,,INVACT INC,,U.S.A,,9999,,132.6611,,"Received in
the company",
579,,AIFMETRICS TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,AIFMETRICS PTE. LTD.,,Singapore,,9990,,132.5417,,Received in the company,
580,,RESULTS IT INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Other information technology and computer service activities n.e.c,,RESULTSCX HOLDING COMPANY LLC (EARLIER KNOWN AS MORGANITE,,U.S.A,,9990,,132.5417,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,,,COMPANY LLC),,,,,,,,,
581,,ZURN INDIA PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Human resources provision and management of human resources functions,,ZURN INTERNATIONAL HOLDINGS B.V.,,Netherland,,9900,,131.3476,,Received in the company,
582,,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,,DELHI,,South Delhi,,Other amusement and recreation activities n.e.c.,,M League Pte Ltd,,Singapore,,9828.38,,131.1932,,Received in the company,
583,,EPICOR SOFTWARE INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Providing software support and maintenance to the clients,,"Epicor International Holdings, Inc.",,U.S.A,,9046,,120.7497,,Received in the company,
584,,EPPINGER TECHNOLOGY ASIA PRIVATE LIMITED,,TAMIL NADU,,Coimbatore,,Manufacture of parts and accessories for the machine tools listed above,,UWE GOTTLIEB EPPINGER,,Germany,,9000,,120.1357,,Received in the company,
585,,Akudo Technologies Private Limited,,HARYANA,,Sonipat,,"RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL
SCIENCES AND ENGINEERING",,"AKUDO TECHNOLOGIES, INC",,U.S.A,,8650.5,,114.77,,Received in the company,
586,,IMMCO SOFTWARE SOLUTIONS PRIVATE LIMITED,,KERALA,,Ernakulam,,Other information technology and computer service activities n.e.c,,JANA IYER,,U.S.A,,7500,,100.6759,,Received in the Company,
587,,UJOY TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Revos Auto Tech PTE. Ltd.,,Singapore,,7285,,97.7898,,Received in the Company,
588,,Stepathlon Lifestyle Private Limited,,MAHARASHTRA,,Mumbai,,"Other human health activities
n.e.c. (including independent ambulance activities)",,Mairah Krishnan,,Australia,,7287,,97.2699,,Received in the company,
589,,UJOY TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Revos Auto Tech PTE. Ltd.,,Singapore,,7285,,97.2432,,Received in the company,
590,,Chado Tea Private Limited,,MAHARASHTRA,,Mumbai,,Processing and blending of tea including manufacture of instant tea,,Brendan Shah,,U.S.A,,7219,,96.9039,,Received in the Company,
591,,YANTRA HEALTH PRIVATE LIMITED,,KARNATAKA,,BENGALURU,,"Research and experimental development on natural
sciences and engineering",,Shervanthi Homer- Vanniasinkam,,United Kingdom,,6930,,91.9433,,Brownfield,
592,,FiberLean Technologies India Private Limited,,MAHARASHTRA,,Pune,,"Manufacture of other non- metallic mineral products
n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear,
footwear, cord, string, paper o",,FiberLean Technologies GmbH,,Germany,,5000,,67.1172,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,felt;,,,,,,,,,,,
593,,Lumenis Be (India) Private Limited,,DELHI,,East Delhi,,"Wholesale of scientific, medical and surgical machinery and equipment",,Lumenis Be Ltd.,,Israel,,4990,,66.983,,Received in the Company,
594,,PRE SKALE WIDE PRIVATE LIMITED,,TAMIL NADU,,Coimbatore,,Other information technology and computer service activities n.e.c,,Preskale INC,,U.S.A,,4990,,66.983,,Received in the Company,
595,,Lumenis Be (India) Private Limited,,DELHI,,East Delhi,,"Wholesale of scientific, medical and surgical machinery and equipment",,Lumenis Be Ltd,,Israel,,5000,,66.742,,Received in the company,
596,,PARTHOS PROPERTIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Real estate activities with own or leased property,,Project Diamond Holdings (DIFC) Limited,,UAE,,5000,,66.742,,Received in the company,
597,,PARTHOS PROPERTIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Real estate activities with own or leased property,,Details as per Annexure,,UAE,,5000,,66.742,,Received in the company,
598,,STRITON PROPERTIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house
boats",,Details as per Annexure,,UAE,,5000,,66.742,,Received in the company,
599,,STRITON PROPERTIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",,Project Diamond Holdings (DIFC) Limited,,UAE,,5000,,66.742,,Received in the company,
600,,Vital Strategies India Services Private Limited,,DELHI,,South Delhi,,"Other human health activities
n.e.c. (including independent ambulance activities)",,Vital Strategies INC,,U.S.A,,5000,,66.742,,Received in the company,
601,,Inros Lackner India Private Limited,,MAHARASHTRA,,Mumbai,,Architectural and engineering activities and related technical consultancy,,Inros Lackner SE,,Germany,,5000,,66.3372,,Received in the company,
602,,Inros Lackner India Private Limited,,MAHARASHTRA,,Mumbai,,Architectural and engineering activities and related technical consultancy,,Inros Lackner International GmbH,,Germany,,5000,,66.3372,,Received in the company,
603,,NDT Global Integrated Technologies Private Limited,,MAHARASHTRA,,Mumbai,,Repair and maintenance of pipes and pipelines,,NDT Global GmbH + Co. KG,,Germany,,5000,,66.3372,,Received in the company,
604,,PRE SKALE WIDE PRIVATE LIMITED,,TAMIL NADU,,Coimbatore,,"Other information technology
and computer service activities n.e.c",,Preskale INC,,U.S.A,,5000,,66.3372,,"Received in
the company",
605,,SCHOLLS WELLNESS,,MAHARASHTRA,,Mumbai,,Other non-specialised,,SCHOLL'S WELLNESS,,United,,4500,,60.0678,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,PRIVATE LIMITED,,,,,,wholesale trade n.e.c.,,COMPANY LIMITED,,Kingdom,,,,,,the company,
606,,GPX INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other data processing, hosting and related activities n.e.c.",,Equinix Pacific LLC,,U.S.A,,3895,,51.992,,Received in the company,
607,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,ENSEMBLE HP LLC,,U.S.A,,3261.2,,43.2678,,Received in the company,
608,,GENPRO RESEARCH PRIVATE LIMITED,,KERALA,,Thiruvananthapuram,,"Other professional, scientific and technical activities n.e.c.",,GENPRO RESEARCH INC,,U.S.A,,2990,,40.1361,,Received in the Company,
609,,METTUBE INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of Copper from ore, and other copper
products and alloys",,METTUBE INTERNATIONAL SDN BHD,,Malaysia,,2500,,33.371,,"Received in the
company",
610,,GPX India II Private Limited,,MAHARASHTRA,,Mumbai,,"Other data processing, hosting and related activities n.e.c.",,Equinix Pacific LLC,,U.S.A,,2167,,28.926,,Received in the company,
611,,NAEHAS SOFTWARE INDIA PRIVATE LIMITED,,HARYANA,,Gurgaon,,Publishing of operating systems and system software,,Naehas Inc.,,U.S.A,,2087,,27.6891,,Received in the company,
612,,NICOFI TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,"MINERALTREE, INC.",,U.S.A,,2000,,26.6968,,Received in the company,
613,,Fremantle India Television Productions Private Limited,,MAHARASHTRA,,Mumbai,,Production of motion picture,,FremantleMedia Group Ltd.,,United Kingdom,,1977.65,,26.5469,,Received in the Company,
614,,Moback Technologies India Private Limited,,KARNATAKA,,Bengaluru,,"Other information technology and computer service
activities n.e.c",,Wyngate Inc.,,U.S.A,,1800,,23.8814,,"Received in the
company",
615,,Uncanny Vision Solutions Private Limited,,KERALA,,Thrissur,,Computer consultancy and computer facilities management activities,,EAGLE EYE NETWORKS INC,,U.S.A,,1277,,17.1417,,Received in the Company,
616,,CompuGain Solutions India Private Limited,,Telangana,,Hyderabad,,"Other information technology
and computer service activities n.e.c",,CompuGain LLC,,U.S.A,,1250,,16.5843,,"Received in
the company",
617,,SARANGA GEOSOFTWARE AND ENGINEERING SERVICES PRIVATE LIMITED,,KERALA,,Ernakulam,,Providing software support and maintenance to the clients,,JANA IYER,,U.S.A,,1220,,16.3766,,Received in the Company,
618,,ENMOVIL SOLUTIONS PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,Emergent India Opportunities Fund Mauritius,,Mauritius,,1140,,15.3027,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
619,,ALFAHIVE PRIVATE LIMITED,,Karnataka,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,ALFAHIVE INC,,Canada,,1000,,13.4234,,Received in the Company,
620,,Lektus Infrastructure Private Limited,,MAHARASHTRA,,Pune,,Other civil engineering projects n.e.c.,,Lektus Sweden AB,,Sweden,,1000,,13.4234,,Brownfield,
621,,LINGARO INDIA PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,LINGARO SWITZERLAND SARL,,Switzerland,,1000,,13.4234,,Received in the Company,
622,,NEXTA EXECUTIVE SEARCH INDIA PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Activities of employment placement agencies,,Talisman Corporation,,Japan,,1000,,13.4234,,Received in the Company,
623,,PRO FUTURO CONSULTING INDIA PRIVATE LIMITED,,MAHARASHTRA,,THANE,,Software installation,,ERIK ELMER,,Czech Republic,,1000,,13.4234,,Received in the Company,
624,,RCH Service India Private Limited,,TAMIL NADU,,Chennai,,Other information technology and computer service activities n.e.c,,"ROC Capital Management Group, LLC",,U.S.A,,1000,,13.4234,,Received in the Company,
625,,PFS Management Services India Private Limited,,KARNATAKA,,Bengaluru,,Other business support service activities n.e.c,,"Peridot Capital Solutions Singapore, Pte. Ltd.",,Singapore,,990,,13.2149,,Received in the company,
626,,CONNECTED COOKING SOLUTIONS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,IOK LABS INC,,U.S.A,,981,,13.0948,,Received in the company,
627,,AGP CGD INDIA PRIVATE LIMITED,,DELHI,,South West Delhi,,Distribution and sale of gaseous fuels through mains,,AG&P LNG MARKETING PTE LTD,,Singapore,,937,,12.5778,,Received in the Company,
628,,AGP CGD INDIA PRIVATE LIMITED,,DELHI,,South West Delhi,,Distribution and sale of gaseous fuels through mains,,AG&P LNG MARKETING PTE LTD,,Singapore,,937,,12.5778,,"Received in the
Company",
629,,XTRACHEF TECHNOLOGIES (INDIA) PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Providing software support and maintenance to the clients,,TOAST INC,,U.S.A,,590,,7.8278,,Received in the company,
630,,SCHOLLS WELLNESS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other non-specialised wholesale trade n.e.c.,,DRSH 1 BIDCO LIMITED,,United Kingdom,,500,,6.6742,,"Received in
the company",
631,,Studio SleevesUp Private Limited,,KARNATAKA,,Bengaluru,,Providing software support and maintenance to the clients,,SleevesUp R (And) D Pty Limited,,Australia,,500,,6.6742,,Received in the company,
632,,OT SERVICES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client",,Shouvanik Chatterjee,,U.S.A,,326,,4.376,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,excluding web-page designing,,,,,,,,,,,
633,,SYRI RESEARCH PRIVATE LIMITED,,GUJARAT,,Vadodara,,Research and experimental development on natural sciences and engineering,,GOVINDJI THAKERSHI HATHI,,United Kingdom,,240,,3.2036,,Received in the company,
634,,NEXUS INDIA RETAIL MANAGEMENT SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",,BREP Asia SBS Kohinoor Holding (NQ) Ltd,,Cayman Islands,,230,,3.0874,,Received in the Company,
635,,OT SERVICES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,Sameer Lal,,U.S.A,,214,,2.8566,,Received in the company,
636,,BETTER TECH SOLUTION INDIA PRIVATE LIMITED,,UTTAR PRADESH,,Gautam Buddha Nagar,,"Other data processing, hosting and related activities n.e.c.",,HAGAI AMIEL,,Canada,,192.6,,2.5854,,Received in the Company,
637,,OT SERVICES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,Viveksheel Ghai,,U.S.A,,152,,2.029,,Received in the company,
638,,Catabel Industrial logistics and warehousing private limited,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR Mumbai 3 Pte. Ltd.,,Singapore,,140.72,,1.8889,,Greenfield,
639,,United For Her Private Limited,,HARYANA,,Gurgaon,,"Other data processing, hosting and related activities n.e.c.",,United We Care PTE LTD,,Singapore,,103,,1.3749,,Received in the company,
640,,CINEDIGM INDIA PRIVATE LIMITED,,WEST BENGAL,,North 24 Parganas,,Other information technology and computer service activities n.e.c,,"CINEDIGM OTT HOLDINGS, LLC",,U.S.A,,100,,1.3423,,Received in the Company,
641,,ZURN INDIA PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Human resources provision and management of human resources functions,,"ZURN INDUSTRIES, LLC",,U.S.A,,100,,1.3423,,Received in the Company,
642,,BLINZELN HEALTH PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Blink Health India Twin Holdco, Inc (formerly known as Blink Health Twin
Holdco LLC)",,U.S.A,,100,,1.3267,,Received in the company,
643,,AAB INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR Mumbai 3 Pte. Ltd.,,Singapore,,87.49,,1.1608,,Greenfield,
644,,Troyer Hydro Private Limited,,DELHI,,South Delhi,,"Wholesale of electrical machinery, equipment and
supplies, n.e.c.",,Troyer A.G.,,Italy,,85.38,,1.1397,,"Received in the
company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
645,,NEXUS INDIA RETAIL MANAGEMENT SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",,BREP VIII SBS Kohinoor Holding (NQ) Ltd,,Cayman Islands,,70,,0.9396,,Received in the Company,
646,,Archernar Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,10,,0.1342,,Received in the Company,
647,,Caelum Arpit Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,10,,0.1342,,Received in the Company,
648,,Lepus Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,10,,0.1342,,Received in the Company,
649,,Lumenis Be (India) Private Limited,,DELHI,,East Delhi,,"Wholesale of scientific, medical and surgical machinery and equipment",,Lumenis Be (UK) Limited,,United Kingdom,,10,,0.1342,,Received in the Company,
650,,Pyxis Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,10,,0.1342,,Received in the Company,
651,,ROBLOX INDIA SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,Other information technology and computer service activities n.e.c,,Roblox Canada Inc.,,Canada,,10,,0.1342,,Received in the Company,
652,,SUBCOM PROJECTS INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other electrical installation n.e.c.,,"Transoceanic Cable Ship Company, LLC",,U.S.A,,10,,0.1342,,Received in the Company,
653,,VEERSA TECHNOLOGIES INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Providing software support and maintenance to the clients,,VEERSA,,U.S.A,,10,,0.1342,,Received in the Company,
654,,Achieve Cybersecurity Solutions India Private Limited,,TELANGANA,,Hyderabad,,Computer consultancy and computer facilities management activities,,"Metmox, LLC",,U.S.A,,10,,0.1335,,Received in the company,
655,,AEROBODE ONE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Real estate activities with own or leased property,,Project Cotton Holdings One (DIFC) Limited,,UAE,,10,,0.1335,,Received in the company,
656,,EDIFIXIO INDIA PRIVATE LIMITED,,WEST BENGAL,,North 24 Parganas,,Providing software support and maintenance to the clients,,BBE Participations SAS,,France,,10,,0.1335,,Received in the company,
657,,"GREEN AZALEA
ENGINEERING CENTRE PRIVATE LIMITED",,KARNATAKA,,Bengaluru,,"Other information technology
and computer service activities n.e.c",,CLUB CAR LLC,,U.S.A,,10,,0.1335,,"Received in
the company",
658,,PFS Management Services,,KARNATAKA,,Bengaluru,,Other business support service,,Peridot Supply Chain,,Canada,,10,,0.1335,,Received in,
,"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type
,,,India Private Limited,,,,,,activities n.e.c,,Solutions Canada Limited,,,,,,,,the company
,659,,NEUSTAR WEB PERFORMANCE AND SECURITY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Security Services LLC,,U.S.A,,10,,0.1327,,Received in the company
,660,,RESULTS IT INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Other information technology and computer service activities n.e.c,,RESULTSCX HOLDING COMPANY LLC (EARLIER KNOWN AS MORGANITE COMPANY LLC),,U.S.A,,10,,0.1327,,Received in the company
,661,,MC MACHINERY SYSTEMS INDIA PRIVATE LIMITED,,TAMIL NADU,,Coimbatore,,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer- controlled sewing and knitting
machines",,Mitsubishi Corporation,,Japan,,1,,0.0133,,Received in the company
,,,Total,,,,,,,,,,,,"1,32,37,63,82,511.0500",,1764022332.3032,,
"*Total  FDI  inflow  includes  equity  inflow,  equity  capital  of  unincorporated  bodies,  re-invested  earnings,  and  other  capital.  Sector/State/Country-wise  details  are maintained only for equity component of FDI inflow.",,,,,,,,,,,,,,,,,,,
